Year,GISTEMP (degC),GISTEMP uncertainty
1880,0.11,0.139
1881,0.19,0.134
1882,0.17,0.137
1883,0.10,0.136
1884,-0.01,0.141
1885,-0.06,0.147
1886,-0.04,0.151
1887,-0.09,0.136
1888,0.10,0.125
1889,0.17,0.126
1890,-0.08,0.123
1891,0.05,0.123
1892,-0.00,0.125
1893,-0.04,0.123
1894,-0.05,0.125
1895,0.04,0.126
1896,0.16,0.120
1897,0.16,0.122
1898,-0.00,0.124
1899,0.09,0.121
1900,0.18,0.114
1901,0.11,0.110
1902,-0.01,0.112
1903,-0.10,0.118
1904,-0.20,0.115
1905,0.01,0.115
1906,0.05,0.113
1907,-0.12,0.116
1908,-0.16,0.114
1909,-0.21,0.119
1910,-0.16,0.106
1911,-0.17,0.113
1912,-0.09,0.110
1913,-0.07,0.114
1914,0.12,0.114
1915,0.13,0.119
1916,-0.09,0.124
1917,-0.19,0.133
1918,-0.03,0.122
1919,-0.01,0.122
1920,-0.00,0.112
1921,0.08,0.113
1922,-0.02,0.110
1923,-0.00,0.106
1924,-0.00,0.111
1925,0.05,0.112
1926,0.16,0.109
1927,0.05,0.112
1928,0.07,0.116
1929,-0.09,0.122
1930,0.11,0.115
1931,0.18,0.108
1932,0.11,0.114
1933,-0.02,0.110
1934,0.15,0.110
1935,0.07,0.110
1936,0.12,0.113
1937,0.24,0.107
1938,0.27,0.114
1939,0.25,0.107
1940,0.40,0.107
1941,0.46,0.115
1942,0.34,0.106
1943,0.36,0.107
1944,0.47,0.103
1945,0.36,0.102
1946,0.20,0.085
1947,0.24,0.079
1948,0.16,0.080
1949,0.16,0.077
1950,0.10,0.066
1951,0.20,0.065
1952,0.28,0.068
1953,0.35,0.066
1954,0.14,0.065
1955,0.13,0.070
1956,0.08,0.073
1957,0.32,0.069
1958,0.33,0.066
1959,0.30,0.065
1960,0.24,0.066
1961,0.33,0.065
1962,0.30,0.067
1963,0.32,0.063
1964,0.07,0.060
1965,0.16,0.060
1966,0.21,0.063
1967,0.25,0.065
1968,0.19,0.063
1969,0.32,0.075
1970,0.30,0.059
1971,0.19,0.059
1972,0.28,0.062
1973,0.43,0.055
1974,0.20,0.051
1975,0.26,0.055
1976,0.17,0.051
1977,0.45,0.051
1978,0.34,0.049
1979,0.43,0.051
1980,0.53,0.046
1981,0.59,0.061
1982,0.41,0.052
1983,0.58,0.049
1984,0.43,0.044
1985,0.39,0.043
1986,0.45,0.044
1987,0.59,0.046
1988,0.66,0.045
1989,0.54,0.054
1990,0.72,0.053
1991,0.68,0.050
1992,0.49,0.045
1993,0.50,0.045
1994,0.59,0.047
1995,0.72,0.052
1996,0.60,0.040
1997,0.73,0.045
1998,0.88,0.044
1999,0.65,0.060
2000,0.66,0.049
2001,0.81,0.050
2002,0.90,0.051
2003,0.89,0.047
2004,0.80,0.045
2005,0.95,0.050
2006,0.91,0.052
2007,0.93,0.060
2008,0.81,0.054
2009,0.92,0.042
2010,0.99,0.048
2011,0.88,0.050
2012,0.92,0.048
2013,0.95,0.049
2014,1.02,0.048
2015,1.17,0.056
2016,1.29,0.054
2017,1.19,0.054
2018,1.12,0.054
2019,1.25,0.054
2020,1.29,0.054
2021,1.12,0.054
2022,1.22,0.054
